dataset,feature,method,n_users,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,raw_low_to_high_mean,raw_low_to_high_sd,centered_low_to_high_mean,centered_low_to_high_sd,rho_raw_sign,rho_centered_sign,centered_effect_sign
instacart,target_novelty_fraction,tifuknn,4124.0,-0.4543853136236023,0.012460698497663129,-0.2513924314497799,0.0019119529270837494,-0.37611582032388974,0.012190752592634713,-0.07580795319175439,0.0006691474773357575,negative,negative,negative
instacart,target_novelty_fraction,triple2vec,4124.0,-0.4106467678850712,0.0508845093464895,-0.16285042529980934,0.0704175115763624,-0.3623470839078727,0.025037203849717988,-0.062039216775737295,0.014067901949936153,negative,negative,negative
instacart,target_popularity_profile,cbp,4124.0,0.12943449897095458,0.02256969514259778,-0.015996973854568206,0.028675871752967225,0.12123016975438801,0.02428522952428038,-0.014838662060533712,0.01198033885444048,positive,mixed,negative
instacart,target_popularity_profile,diffrec,4124.0,0.27640169612471027,0.0035915632956756683,0.21692861566007324,0.017629029296281615,0.2499419501689203,0.0033288964680800804,0.11387311835399856,0.010520644564077374,positive,positive,positive
instacart,target_popularity_profile,dnntsp,4124.0,0.16342106309614246,0.011532704008583285,0.055046187199900475,0.01223118822028455,0.15027512379583582,0.01057124122590385,0.01420629198091409,0.0063799434721391254,positive,positive,positive
instacart,target_popularity_profile,fpmc,4124.0,0.16313297505209415,0.006674564770597662,-0.07273760961610296,0.01985768758114393,0.08221227519259001,0.0032912472028614834,-0.05385655662233172,0.011759095592389551,positive,negative,negative
instacart,target_popularity_profile,frequency,4124.0,0.13628334017062013,0.019002188114073327,0.0011288699320789928,0.016934853435132992,0.1296021758086998,0.01837371690449601,-0.006466656006221973,0.005239508934299367,positive,mixed,negative
instacart,target_popularity_profile,recency,4124.0,0.1588839530122029,0.010689857599514201,0.003230923593490698,0.01307800555916454,0.1403615604561238,0.009464771815643354,0.004292728641202022,0.010148848680126735,positive,mixed,mixed
instacart,target_popularity_profile,tifuknn,4124.0,0.12596873595229105,0.02128061900778174,-0.03559174350213493,0.022258635290010178,0.11924052171042326,0.022395074141122986,-0.01682831010449846,0.009400049568302019,positive,negative,negative
instacart,target_popularity_profile,triple2vec,4124.0,0.0926440318967091,0.027280815438033706,-0.08376502909313362,0.022128235487187214,0.09568687763239296,0.021590401539767507,-0.0403819541825288,0.008572713123811,positive,negative,negative
instacart,target_relational_strength,cbp,4124.0,0.36135434489066204,0.004233358515471364,0.18372031267345437,0.010117638736644521,0.325582261646232,0.00227263046122571,0.051508643561197075,0.007786274217614399,positive,positive,positive
instacart,target_relational_strength,diffrec,4124.0,0.3628436618291056,0.019144266648507442,0.06768124008013,0.015183328881431164,0.29438804125638707,0.01295158889905256,0.020314423171352212,0.007857025200429316,positive,positive,positive
instacart,target_relational_strength,dnntsp,4124.0,0.37419603594833045,0.018284649936874193,0.10464840282764572,0.012793457127168213,0.31693051799943556,0.015235094659245007,0.042856899914400705,0.010755188464881393,positive,positive,positive
instacart,target_relational_strength,fpmc,4124.0,0.3031362792972883,0.007076631990096389,-0.19599379736600486,0.016358781781319148,0.15707988168409645,0.0037624494145809717,-0.11699373640093846,0.008759685481440283,positive,negative,negative
instacart,target_relational_strength,frequency,4124.0,0.35892185290294615,0.006583730876580446,0.1824923250726536,0.005137703088252538,0.32512493206841114,0.0024051108506264844,0.05105131398337629,0.0035920571014664594,positive,positive,positive
instacart,target_relational_strength,recency,4124.0,0.2727080248844902,0.012069561618037962,-0.12269331777199959,0.019330683140197116,0.1908404761241044,0.0020882973469655017,-0.0832331419609305,0.006202225936800595,positive,negative,negative
instacart,target_relational_strength,tifuknn,4124.0,0.34133190986287465,0.007114307196979053,0.13034023393941793,0.004460319952881047,0.3054945596378043,0.002184078814020946,0.03142094155276936,0.0038443857590829585,positive,positive,positive
instacart,target_relational_strength,triple2vec,4124.0,0.30847149999274137,0.03441679816812832,0.06138432904395325,0.039822344429919034,0.27714827426380834,0.026412334554319374,0.0030746561787733974,0.021533768318935224,positive,positive,mixed
instacart,target_repeat_fraction,cbp,4124.0,0.4607533727316478,0.013194913878110918,0.27811379836000416,0.00760485888251251,0.3796810008076568,0.015005919340473434,0.07937313367552142,0.0053820170138848804,positive,positive,positive
instacart,target_repeat_fraction,diffrec,4124.0,0.38641373403433305,0.01440287098331211,0.026223491483870598,0.01957341207375268,0.2888334761984489,0.011134164785060316,-0.011474390933686475,0.007206540311574532,positive,positive,negative
instacart,target_repeat_fraction,dnntsp,4124.0,0.41531083390277906,0.016822892763511253,0.12311773411927178,0.002225405350979666,0.31810287198501963,0.015304895448442086,0.01779500485288428,0.0034759415982725866,positive,positive,positive
instacart,target_repeat_fraction,fpmc,4124.0,0.15665367796789986,0.018716248995589362,-0.37258526537525277,0.014382457938924717,0.07015042875234037,0.009376840911942423,-0.230157438379795,0.0035809017958011655,positive,negative,negative
instacart,target_repeat_fraction,frequency,4124.0,0.4522408009362177,0.011291803890605284,0.26683348512836186,0.003398528088361396,0.37351379839749255,0.01182328947154615,0.0732059312653572,0.0015788652431062014,positive,positive,positive
instacart,target_repeat_fraction,recency,4124.0,0.30155117958854954,0.016522029323814556,-0.15166563367494368,0.013151309617001042,0.23371845668436228,0.00907531598936379,-0.06658941044777306,0.006414401029914005,positive,negative,negative
instacart,target_repeat_fraction,tifuknn,4124.0,0.4543853136236023,0.012460698497663129,0.2513924314497799,0.0019119529270837494,0.37611582032388974,0.012190752592634713,0.07580795319175439,0.0006691474773357575,positive,positive,positive
instacart,target_repeat_fraction,triple2vec,4124.0,0.4106467678850712,0.0508845093464895,0.16285042529980934,0.0704175115763624,0.3623470839078727,0.025037203849717988,0.062039216775737295,0.014067901949936153,positive,positive,positive
instacart,target_transition_strength,cbp,4124.0,0.38157285328779394,0.025548277243460107,0.16275068769539255,0.02452247416499426,0.34521980044242523,0.0291932924464961,0.0454416246354384,0.009054855858494115,positive,positive,positive
instacart,target_transition_strength,diffrec,4124.0,0.3971359773919502,0.026326499159272675,0.08073587330399833,0.010796119861835764,0.3269716794735082,0.027652399055379376,0.02719350366652137,0.009973434204499672,positive,positive,positive
instacart,target_transition_strength,dnntsp,4124.0,0.39240813333605723,0.0199041338927217,0.1016651526211908,0.0045945775683751,0.3398155061215237,0.01883933952928311,0.04003733031453693,0.002712765386340281,positive,positive,positive
