dataset,keyset,method_a,method_b,mean_delta,median_delta,p10_delta,p90_delta,a_better_share,b_better_share,tie_share,two_sided_share
tafeng,1,triple2vec,cbp,-0.018103632527205208,0.0,-0.169580102636808,0.1251739405390885,0.1463294868647189,0.14534740977166707,0.708323103363614,0.14534740977166707
tafeng,1,triple2vec,diffrec,-0.0033525041198215894,0.0,-0.1312050775123417,0.1312050775123417,0.1276700220967346,0.1382273508470415,0.7341026270562239,0.1276700220967346
tafeng,1,sets2sets,dnntsp,-0.0004772217714885204,0.0,-0.1251739405390885,0.1251739405390885,0.12987969555610115,0.1281610606432605,0.7419592438006384,0.1281610606432605
tafeng,1,sets2sets,cbp,-0.012099505792643992,0.0,-0.169580102636808,0.0444061620977195,0.1080284802356985,0.16547999017922907,0.7264915295850725,0.1080284802356985
tafeng,1,sets2sets,diffrec,0.002651622614739624,0.0,-0.1460683498427064,0.1460683498427064,0.13749079302725264,0.14804812177755955,0.7144610851951878,0.13749079302725264
tafeng,1,dnntsp,cbp,-0.011622284021155472,0.0,-0.169580102636808,0.08599536977613573,0.12447827154431623,0.17677387674932482,0.698747851706359,0.12447827154431623
tafeng,1,dnntsp,diffrec,0.003128844386228144,0.0,-0.169580102636808,0.1681275362711174,0.14559292904493001,0.1482936410508225,0.7061134299042475,0.14559292904493001
tafeng,1,cbp,diffrec,0.014751128407383615,0.0,-0.1251739405390885,0.169580102636808,0.16204272035354775,0.13159833046894182,0.7063589491775104,0.13159833046894182
tafeng,2,recency,frequency,-0.02611996503725384,0.0,-0.16544539507818198,0.0,0.07881168671740732,0.13503560029462314,0.7861527129879695,0.07881168671740732
tafeng,2,recency,racf,-0.030023582229322603,0.0,-0.169580102636808,0.0,0.09231524674686963,0.16646206727228088,0.7412226859808495,0.09231524674686963
