dataset,keyset,method_a,method_b,feature,n,rho,p_value
dunnhumby,0,tifuknn,fpmc,popularity_profile,4504,0.07694298613468302,2.3407154022903282e-07
dunnhumby,0,tifuknn,fpmc,neighbor_similarity,4504,0.020437105028758864,0.17027074445509158
dunnhumby,0,tifuknn,fpmc,cooccurrence_support,4467,0.04065089842812006,0.006581876290849893
dunnhumby,0,tifuknn,fpmc,transition_predictability,4503,0.02618632198748878,0.07891256804304782
dunnhumby,0,tifuknn,triple2vec,n_baskets,4504,-0.07675269286626607,2.506784661938658e-07
dunnhumby,0,tifuknn,triple2vec,avg_basket_size,4504,0.06821886210362071,4.597536178402228e-06
dunnhumby,0,tifuknn,triple2vec,repeat_rate,4504,-0.013797079056194315,0.3545839715688399
dunnhumby,0,tifuknn,triple2vec,adjacent_basket_jaccard,4504,0.048222079572172886,0.0012068432972544131
dunnhumby,0,tifuknn,triple2vec,recency_frequency_disagreement,4504,-0.005202841080588369,0.727030964007316
dunnhumby,0,tifuknn,triple2vec,recent_basket_novelty,4504,-0.004773199175232601,0.7487779728056125
dunnhumby,0,tifuknn,triple2vec,popularity_profile,4504,0.03524676038443898,0.018003137400039917
dunnhumby,0,tifuknn,triple2vec,neighbor_similarity,4504,0.0028138080639979446,0.850259122974135
dunnhumby,0,tifuknn,triple2vec,cooccurrence_support,4467,0.047992679255571866,0.0013339609734683308
dunnhumby,0,tifuknn,triple2vec,transition_predictability,4503,0.03480854825559955,0.01949822919550762
dunnhumby,0,tifuknn,sets2sets,n_baskets,4504,0.08921373356282582,2.0025694953248834e-09
dunnhumby,0,tifuknn,sets2sets,avg_basket_size,4504,0.17650625513568557,7.664535162480985e-33
dunnhumby,0,tifuknn,sets2sets,repeat_rate,4504,0.2760445229074741,1.4074850235600484e-79
dunnhumby,0,tifuknn,sets2sets,adjacent_basket_jaccard,4504,0.2701691189528305,3.531523062275379e-76
dunnhumby,0,tifuknn,sets2sets,recency_frequency_disagreement,4504,0.0528841692594539,0.00038427556487070414
dunnhumby,0,tifuknn,sets2sets,recent_basket_novelty,4504,-0.18009870348279056,3.822448555295597e-34
dunnhumby,0,tifuknn,sets2sets,popularity_profile,4504,0.06303175579721074,2.3037612952807956e-05
dunnhumby,0,tifuknn,sets2sets,neighbor_similarity,4504,0.051970128204583854,0.00048446655994839393
dunnhumby,0,tifuknn,sets2sets,cooccurrence_support,4467,0.05173381193653575,0.0005421648952127226
dunnhumby,0,tifuknn,sets2sets,transition_predictability,4503,0.050083219589409686,0.0007738545308905214
dunnhumby,0,tifuknn,dnntsp,n_baskets,4504,-0.014147143331018755,0.3425062484044813
dunnhumby,0,tifuknn,dnntsp,avg_basket_size,4504,0.014527436788507774,0.32968729599526314
dunnhumby,0,tifuknn,dnntsp,repeat_rate,4504,0.08571563249466946,8.334821446049471e-09
dunnhumby,0,tifuknn,dnntsp,adjacent_basket_jaccard,4504,0.14193081439772243,1.0579137390659273e-21
dunnhumby,0,tifuknn,dnntsp,recency_frequency_disagreement,4504,-0.028682061684846827,0.054258413519208945
dunnhumby,0,tifuknn,dnntsp,recent_basket_novelty,4504,-0.07027089098523452,2.352236271308006e-06
dunnhumby,0,tifuknn,dnntsp,popularity_profile,4504,0.02869557200256884,0.0541449904946031
dunnhumby,0,tifuknn,dnntsp,neighbor_similarity,4504,0.029021308272478084,0.05146964929950022
dunnhumby,0,tifuknn,dnntsp,cooccurrence_support,4467,0.010966104549224177,0.46371501083569944
dunnhumby,0,tifuknn,dnntsp,transition_predictability,4503,0.04048155087006417,0.006590657451201184
dunnhumby,0,tifuknn,cbp,n_baskets,4504,-0.03896293597859848,0.008919042624647754
