dataset,keyset,method,analysis_type,mechanism,category,n_items,hit_rate_at5,mean_ndcg_contribution,rho_hit,rho_ndcg,low_to_high_hit,low_to_high_ndcg
sam,1,cbp,target_class,target_class,last_basket_repeat,2549,0.7618673989799921,0.33549134644569706,,,,
sam,1,cbp,target_class,target_class,novel,8919,0.0001121201928467317,0.0,,,,
sam,1,cbp,target_class,target_class,older_repeat,3855,0.3610894941634241,0.08959437952654097,,,,
sam,1,cbp,continuous,personal_frequency,,15323,0.2176466749331071,0.0783497862797688,0.7558813468365051,0.722541086677418,0.8596501888054555,0.3623891210857185
sam,1,cbp,continuous,personal_recency_score,,15323,0.2176466749331071,0.0783497862797688,0.7020218378635077,0.6621409339028679,0.7617552787871454,0.335491346445697
sam,1,cbp,continuous,global_popularity,,15323,0.2176466749331071,0.0783497862797688,0.1566284738422478,0.1588556265305695,0.18868132687560263,0.04620561788353467
sam,1,cbp,continuous,neighbor_support,,15323,0.2176466749331071,0.0783497862797688,0.6406716652273061,0.6137307215708334,0.7306064183432041,0.2914036705187563
sam,1,cbp,continuous,transition_support,,15323,0.2176466749331071,0.0783497862797688,0.29397759322360345,0.25853137629561235,0.33737634640247255,0.05960922874993731
sam,1,cbp,continuous,relational_support,,15323,0.2176466749331071,0.0783497862797688,0.24188727649775388,0.23078058682625788,0.2911702657376394,0.0323202904925254
sam,1,diffrec,target_class,target_class,last_basket_repeat,2549,0.4009415457041977,0.15631978215642225,,,,
sam,1,diffrec,target_class,target_class,novel,8919,0.005045408678102927,0.0008599898912878564,,,,
sam,1,diffrec,target_class,target_class,older_repeat,3855,0.21660181582360571,0.05835814504915886,,,,
sam,1,diffrec,continuous,personal_frequency,,15323,0.12412712915225478,0.0411864532873213,0.5042299347124617,0.47939028817137064,0.44147411593989366,0.16963550655896648
sam,1,diffrec,continuous,personal_recency_score,,15323,0.12412712915225478,0.0411864532873213,0.47091590625135293,0.44653286075325477,0.3958961370260948,0.15545979226513443
sam,1,diffrec,continuous,global_popularity,,15323,0.12412712915225478,0.0411864532873213,0.3754866662036538,0.36969198153099775,0.3508249380231428,0.11694405502667936
sam,1,diffrec,continuous,neighbor_support,,15323,0.12412712915225478,0.0411864532873213,0.563921189030089,0.5344061386991877,0.5407572621762722,0.20059816655027657
sam,1,diffrec,continuous,transition_support,,15323,0.12412712915225478,0.0411864532873213,0.2997459608164784,0.28446833881425315,0.2625623976464833,0.06238373535382678
sam,1,diffrec,continuous,relational_support,,15323,0.12412712915225478,0.0411864532873213,0.25228370225853114,0.2568507485081139,0.23015780930684787,0.04473054611853888
sam,2,recency,target_class,target_class,last_basket_repeat,2721,0.8202866593164277,0.3314818873540029,,,,
sam,2,recency,target_class,target_class,novel,9179,0.0,0.0,,,,
sam,2,recency,target_class,target_class,older_repeat,3786,0.15134706814580032,0.01516143395820563,,,,
sam,2,recency,continuous,personal_frequency,,15686,0.1788218793828892,0.061160487342599025,0.6588999193804684,0.6080224195111896,0.6636155606407322,0.2599284413371872
sam,2,recency,continuous,personal_recency_score,,15686,0.1788218793828892,0.061160487342599025,0.693667577743701,0.6488008323322267,0.8202866593164277,0.3314818873540029
sam,2,recency,continuous,global_popularity,,15686,0.1788218793828892,0.061160487342599025,0.13546833615610912,0.14852174302206791,0.15996352029183766,0.0384927313506577
sam,2,recency,continuous,neighbor_support,,15686,0.1788218793828892,0.061160487342599025,0.5524759397369675,0.5163018317639436,0.5821491856100792,0.21557740893010732
sam,2,recency,continuous,transition_support,,15686,0.1788218793828892,0.061160487342599025,0.22726632233675534,0.1906376149280229,0.25814617745807167,0.029182347718047744
sam,2,recency,continuous,relational_support,,15686,0.1788218793828892,0.061160487342599025,0.16651349892355904,0.16264279534501797,0.19641906003803314,0.00935498341858193
sam,2,frequency,target_class,target_class,last_basket_repeat,2721,0.7471517824329291,0.31491553789236454,,,,
sam,2,frequency,target_class,target_class,novel,9179,0.0,0.0,,,,
sam,2,frequency,target_class,target_class,older_repeat,3786,0.3750660327522451,0.09063136586593946,,,,
sam,2,frequency,continuous,personal_frequency,,15686,0.2201326023205406,0.07650232881381938,0.75284232653612,0.7218327197674455,0.8407976462896372,0.34267441301255114
sam,2,frequency,continuous,personal_recency_score,,15686,0.2201326023205406,0.07650232881381938,0.7021843519541404,0.6619986992568009,0.7471517824329291,0.3149155378923646
sam,2,frequency,continuous,global_popularity,,15686,0.2201326023205406,0.07650232881381938,0.18246292434265177,0.1923614824987252,0.22902089510556645,0.0636759925620446
sam,2,frequency,continuous,neighbor_support,,15686,0.2201326023205406,0.07650232881381938,0.6571980654653844,0.6376730960824138,0.7551295815141708,0.2921967518129854
sam,2,frequency,continuous,transition_support,,15686,0.2201326023205406,0.07650232881381938,0.2939455866513825,0.26096490001978545,0.34878948677197563,0.0630640576907796
sam,2,frequency,continuous,relational_support,,15686,0.2201326023205406,0.07650232881381938,0.25153357093907613,0.24271259429607261,0.30463161097527847,0.037177843883870576
sam,2,tifuknn,target_class,target_class,last_basket_repeat,2721,0.808893789048144,0.3466018864650978,,,,
sam,2,tifuknn,target_class,target_class,novel,9179,0.0014162762828194792,8.200209693411718e-05,,,,
sam,2,tifuknn,target_class,target_class,older_repeat,3786,0.29635499207606975,0.06451349340716682,,,,
sam,2,tifuknn,continuous,personal_frequency,,15686,0.21267372179013133,0.07574298842017231,0.7399865277264105,0.712570542418979,0.8269590097583704,0.3435631573503568
sam,2,tifuknn,continuous,personal_recency_score,,15686,0.21267372179013133,0.07574298842017231,0.7160883805629112,0.6819798361928924,0.8074775127653245,0.3465198843681637
sam,2,tifuknn,continuous,global_popularity,,15686,0.21267372179013133,0.07574298842017231,0.13015494009072962,0.13432793279175315,0.16455424720238604,0.03933518468476837
sam,2,tifuknn,continuous,neighbor_support,,15686,0.21267372179013133,0.07574298842017231,0.6220485953524473,0.5979561140315166,0.7053974146931652,0.27297016394757656
sam,2,tifuknn,continuous,transition_support,,15686,0.21267372179013133,0.07574298842017231,0.2913499160044183,0.25030746150549826,0.34636239483255377,0.056355524258440134
sam,2,tifuknn,continuous,relational_support,,15686,0.21267372179013133,0.07574298842017231,0.23959887750960485,0.23024885345215043,0.2893107742461288,0.0322090995091988
sam,2,fpmc,target_class,target_class,last_basket_repeat,2721,0.21462697537669975,0.11232140167148542,,,,
sam,2,fpmc,target_class,target_class,novel,9179,0.006536659766859135,0.0011724497505104072,,,,
sam,2,fpmc,target_class,target_class,older_repeat,3786,0.04094030639197042,0.011408031895733892,,,,
sam,2,fpmc,continuous,personal_frequency,,15686,0.050937141399974496,0.02292357892166871,0.3217400698489648,0.2935035525428718,0.20104751806903495,0.10435964307629378
sam,2,fpmc,continuous,personal_recency_score,,15686,0.050937141399974496,0.02292357892166871,0.29955546456858134,0.27270584179408197,0.20809031560984062,0.11114895192097501
