dataset,keyset,outcome,method,feature,n_users,r2,coef
dunnhumby,2,centered,frequency,repeat_rate,4504,0.06256468122980774,0.02457376386300223
dunnhumby,2,centered,frequency,adjacent_basket_jaccard,4504,0.06256468122980774,0.0072463833615342005
dunnhumby,2,centered,frequency,recent_basket_novelty,4504,0.06256468122980774,0.011529525818911238
dunnhumby,2,centered,frequency,popularity_profile,4504,0.06256468122980774,-0.001247801359408975
dunnhumby,2,centered,frequency,neighbor_similarity,4504,0.06256468122980774,-0.0006293711284352154
dunnhumby,2,centered,frequency,transition_strength,4504,0.06256468122980774,0.002126541210045736
dunnhumby,2,centered,frequency,relational_strength,4504,0.06256468122980774,-0.002613190850509634
dunnhumby,2,centered,tifuknn,n_baskets,4504,0.04217363103329219,-0.008056376575139225
dunnhumby,2,centered,tifuknn,avg_basket_size,4504,0.04217363103329219,0.0024597065010796733
dunnhumby,2,centered,tifuknn,repeat_rate,4504,0.04217363103329219,0.025569038457270717
dunnhumby,2,centered,tifuknn,adjacent_basket_jaccard,4504,0.04217363103329219,0.0013865554341016377
dunnhumby,2,centered,tifuknn,recent_basket_novelty,4504,0.04217363103329219,0.007863130996948926
dunnhumby,2,centered,tifuknn,popularity_profile,4504,0.04217363103329219,-0.0009943251240391495
dunnhumby,2,centered,tifuknn,neighbor_similarity,4504,0.04217363103329219,-0.001429329054758072
dunnhumby,2,centered,tifuknn,transition_strength,4504,0.04217363103329219,0.002846669268439169
dunnhumby,2,centered,tifuknn,relational_strength,4504,0.04217363103329219,-0.0011284253569525658
dunnhumby,2,centered,fpmc,n_baskets,4504,0.12683708032786145,0.03824801673701199
dunnhumby,2,centered,fpmc,avg_basket_size,4504,0.12683708032786145,-0.013724917450279418
dunnhumby,2,centered,fpmc,repeat_rate,4504,0.12683708032786145,-0.06756188914324172
dunnhumby,2,centered,fpmc,adjacent_basket_jaccard,4504,0.12683708032786145,-0.014187502340398343
dunnhumby,2,centered,fpmc,recent_basket_novelty,4504,0.12683708032786145,-0.013152332070675581
dunnhumby,2,centered,fpmc,popularity_profile,4504,0.12683708032786145,0.002851131167631452
dunnhumby,2,centered,fpmc,neighbor_similarity,4504,0.12683708032786145,0.005410287238731472
dunnhumby,2,centered,fpmc,transition_strength,4504,0.12683708032786145,-0.007904037272587223
dunnhumby,2,centered,fpmc,relational_strength,4504,0.12683708032786145,0.0087229377481468
dunnhumby,2,centered,triple2vec,n_baskets,4504,0.035002105111065274,-0.0016511865041047842
dunnhumby,2,centered,triple2vec,avg_basket_size,4504,0.035002105111065274,-0.005101024957283679
dunnhumby,2,centered,triple2vec,repeat_rate,4504,0.035002105111065274,0.028623233844732702
dunnhumby,2,centered,triple2vec,adjacent_basket_jaccard,4504,0.035002105111065274,0.0036951919484772204
dunnhumby,2,centered,triple2vec,recent_basket_novelty,4504,0.035002105111065274,0.01096212919132471
dunnhumby,2,centered,triple2vec,popularity_profile,4504,0.035002105111065274,-0.004968804643528267
dunnhumby,2,centered,triple2vec,neighbor_similarity,4504,0.035002105111065274,-0.004528975384375454
dunnhumby,2,centered,triple2vec,transition_strength,4504,0.035002105111065274,-0.00251512163799079
dunnhumby,2,centered,triple2vec,relational_strength,4504,0.035002105111065274,0.000295010821650557
dunnhumby,2,centered,dnntsp,n_baskets,4504,0.04993931769151316,-0.03182557724175142
dunnhumby,2,centered,dnntsp,avg_basket_size,4504,0.04993931769151316,0.010582735696313163
dunnhumby,2,centered,dnntsp,repeat_rate,4504,0.04993931769151316,0.014725432566382025
dunnhumby,2,centered,dnntsp,adjacent_basket_jaccard,4504,0.04993931769151316,-0.01102453834531816
dunnhumby,2,centered,dnntsp,recent_basket_novelty,4504,0.04993931769151316,0.00621309455315749
dunnhumby,2,centered,dnntsp,popularity_profile,4504,0.04993931769151316,0.0035528191107775118
dunnhumby,2,centered,dnntsp,neighbor_similarity,4504,0.04993931769151316,-0.004381223534410438
dunnhumby,2,centered,dnntsp,transition_strength,4504,0.04993931769151316,-0.0015403656167462983
dunnhumby,2,centered,dnntsp,relational_strength,4504,0.04993931769151316,0.00043404284417690106
dunnhumby,2,centered,cbp,n_baskets,4504,0.05352546174079076,-0.005667359301679914
dunnhumby,2,centered,cbp,avg_basket_size,4504,0.05352546174079076,0.003409983730385651
dunnhumby,2,centered,cbp,repeat_rate,4504,0.05352546174079076,0.027022893803084716
dunnhumby,2,centered,cbp,adjacent_basket_jaccard,4504,0.05352546174079076,0.003562882406627838
dunnhumby,2,centered,cbp,recent_basket_novelty,4504,0.05352546174079076,0.011202314026312866
dunnhumby,2,centered,cbp,popularity_profile,4504,0.05352546174079076,-0.001173685385361793
dunnhumby,2,centered,cbp,neighbor_similarity,4504,0.05352546174079076,-0.0016492055127741892
dunnhumby,2,centered,cbp,transition_strength,4504,0.05352546174079076,0.002154663645896049
dunnhumby,2,centered,cbp,relational_strength,4504,0.05352546174079076,-0.002456577749407273
dunnhumby,2,centered,diffrec,n_baskets,4504,0.018230747105694944,0.0025978555689796677
dunnhumby,2,centered,diffrec,avg_basket_size,4504,0.018230747105694944,0.0016064478853199274
dunnhumby,2,centered,diffrec,repeat_rate,4504,0.018230747105694944,0.011599120386384776
dunnhumby,2,centered,diffrec,adjacent_basket_jaccard,4504,0.018230747105694944,-0.0058854598398767975
dunnhumby,2,centered,diffrec,recent_basket_novelty,4504,0.018230747105694944,0.003975148041448772
dunnhumby,2,centered,diffrec,popularity_profile,4504,0.018230747105694944,0.007692182353387338
dunnhumby,2,centered,diffrec,neighbor_similarity,4504,0.018230747105694944,0.004528222454889819
dunnhumby,2,centered,diffrec,transition_strength,4504,0.018230747105694944,0.00513010382949552
dunnhumby,2,centered,diffrec,relational_strength,4504,0.018230747105694944,-0.0024083294443709353
instacart,0,difficulty,all_method_mean,n_baskets,4124,0.2905094131510809,-0.03833394275110886
instacart,0,difficulty,all_method_mean,avg_basket_size,4124,0.2905094131510809,0.044147583059321927
instacart,0,difficulty,all_method_mean,repeat_rate,4124,0.2905094131510809,0.07591904000146008
instacart,0,difficulty,all_method_mean,adjacent_basket_jaccard,4124,0.2905094131510809,0.06292633883390385
instacart,0,difficulty,all_method_mean,recent_basket_novelty,4124,0.2905094131510809,-0.006578850673878733
instacart,0,difficulty,all_method_mean,popularity_profile,4124,0.2905094131510809,0.022355095781729496
instacart,0,difficulty,all_method_mean,neighbor_similarity,4124,0.2905094131510809,-0.0020411072008200055
instacart,0,difficulty,all_method_mean,transition_strength,4124,0.2905094131510809,0.0071134880566005015
instacart,0,difficulty,all_method_mean,relational_strength,4124,0.2905094131510809,0.007747914536022396
instacart,0,centered,recency,n_baskets,4124,0.0814145247876602,0.012518515767751549
instacart,0,centered,recency,avg_basket_size,4124,0.0814145247876602,-0.008628512032551022
instacart,0,centered,recency,repeat_rate,4124,0.0814145247876602,-0.08545599724124456
instacart,0,centered,recency,adjacent_basket_jaccard,4124,0.0814145247876602,0.025774685072201958
instacart,0,centered,recency,recent_basket_novelty,4124,0.0814145247876602,-0.04776470457383575
instacart,0,centered,recency,popularity_profile,4124,0.0814145247876602,-0.011859821528356811
instacart,0,centered,recency,neighbor_similarity,4124,0.0814145247876602,0.02194410680579363
instacart,0,centered,recency,transition_strength,4124,0.0814145247876602,-0.013636238873730321
instacart,0,centered,recency,relational_strength,4124,0.0814145247876602,0.006276825454940307
instacart,0,centered,frequency,n_baskets,4124,0.06221163566224697,-0.0023431122322060604
instacart,0,centered,frequency,avg_basket_size,4124,0.06221163566224697,0.009430323451049986
instacart,0,centered,frequency,repeat_rate,4124,0.06221163566224697,0.020364299013638648
instacart,0,centered,frequency,adjacent_basket_jaccard,4124,0.06221163566224697,0.01693168527145185
instacart,0,centered,frequency,recent_basket_novelty,4124,0.06221163566224697,0.005191510660608683
instacart,0,centered,frequency,popularity_profile,4124,0.06221163566224697,-0.008158284068927879
instacart,0,centered,frequency,neighbor_similarity,4124,0.06221163566224697,-0.001346785653675368
instacart,0,centered,frequency,transition_strength,4124,0.06221163566224697,0.0016610545752323005
instacart,0,centered,frequency,relational_strength,4124,0.06221163566224697,-0.00426791384076268
instacart,0,centered,tifuknn,n_baskets,4124,0.06040310476701327,-0.010742907667151348
instacart,0,centered,tifuknn,avg_basket_size,4124,0.06040310476701327,0.007534948169469342
instacart,0,centered,tifuknn,repeat_rate,4124,0.06040310476701327,0.023460992905764293
instacart,0,centered,tifuknn,adjacent_basket_jaccard,4124,0.06040310476701327,0.018354621326342652
instacart,0,centered,tifuknn,recent_basket_novelty,4124,0.06040310476701327,0.00586032845992032
instacart,0,centered,tifuknn,popularity_profile,4124,0.06040310476701327,-0.008204017727499461
instacart,0,centered,tifuknn,neighbor_similarity,4124,0.06040310476701327,-0.005009710871692022
instacart,0,centered,tifuknn,transition_strength,4124,0.06040310476701327,-0.0018608768976654034
instacart,0,centered,tifuknn,relational_strength,4124,0.06040310476701327,-0.0002494872124315789
instacart,0,centered,fpmc,n_baskets,4124,0.1650467965953687,0.05541516855439634
instacart,0,centered,fpmc,avg_basket_size,4124,0.1650467965953687,0.003926786469054438
instacart,0,centered,fpmc,repeat_rate,4124,0.1650467965953687,-0.07338457974405509
instacart,0,centered,fpmc,adjacent_basket_jaccard,4124,0.1650467965953687,-0.05167209183221397
instacart,0,centered,fpmc,recent_basket_novelty,4124,0.1650467965953687,0.0033990133616136208
instacart,0,centered,fpmc,popularity_profile,4124,0.1650467965953687,-0.00012862560416955406
instacart,0,centered,fpmc,neighbor_similarity,4124,0.1650467965953687,-0.0009894504008682637
instacart,0,centered,fpmc,transition_strength,4124,0.1650467965953687,0.016302112177658774
instacart,0,centered,fpmc,relational_strength,4124,0.1650467965953687,0.004164135282946549
instacart,0,centered,triple2vec,n_baskets,4124,0.16941609912352573,-0.0714633245896821
instacart,0,centered,triple2vec,avg_basket_size,4124,0.16941609912352573,-0.056763831604172595
instacart,0,centered,triple2vec,repeat_rate,4124,0.16941609912352573,0.06012001633043819
instacart,0,centered,triple2vec,adjacent_basket_jaccard,4124,0.16941609912352573,0.0025236350708088794
instacart,0,centered,triple2vec,recent_basket_novelty,4124,0.16941609912352573,0.00914346548542196
instacart,0,centered,triple2vec,popularity_profile,4124,0.16941609912352573,-0.0007686522115923494
instacart,0,centered,triple2vec,neighbor_similarity,4124,0.16941609912352573,-0.029406104885887067
instacart,0,centered,triple2vec,transition_strength,4124,0.16941609912352573,0.008841312403926613
instacart,0,centered,triple2vec,relational_strength,4124,0.16941609912352573,-0.0028996178988743137
