dataset,outcome,method,feature,n_users,coef_mean,coef_sd,r2_mean,n_keysets,coef_sign,abs_coef_mean
instacart,difficulty,all_method_mean,recent_basket_novelty,4124.0,-0.009521469495795245,0.003484806925059792,0.28476544767395706,3,negative,0.009521469495795245
instacart,difficulty,all_method_mean,transition_strength,4124.0,0.00657429718909628,0.003411539075313797,0.28476544767395706,3,positive,0.00657429718909628
instacart,difficulty,all_method_mean,neighbor_similarity,4124.0,-0.0037886394590685908,0.00498313377449447,0.28476544767395706,3,mixed,0.0037886394590685908
instacart,difficulty,all_method_mean,relational_strength,4124.0,0.003342826232853762,0.009275686799919568,0.28476544767395706,3,mixed,0.003342826232853762
sam,centered,diffrec,adjacent_basket_jaccard,3678.0,-0.09321437378255504,0.009614033301972717,0.3021003334399788,3,negative,0.09321437378255504
sam,centered,recency,repeat_rate,3678.0,-0.07666230804494902,0.01882276871355189,0.11146275527865264,3,negative,0.07666230804494902
sam,centered,diffrec,neighbor_similarity,3678.0,0.07240460339324756,0.0033481339748296047,0.3021003334399788,3,positive,0.07240460339324756
sam,centered,fpmc,repeat_rate,3678.0,-0.06299459079787469,0.012033848822024523,0.06780764513463189,3,negative,0.06299459079787469
sam,centered,recency,recent_basket_novelty,3678.0,-0.06275924698894908,0.00817366876180968,0.11146275527865264,3,negative,0.06275924698894908
sam,centered,recency,adjacent_basket_jaccard,3678.0,0.05295418977713772,0.012222299854383977,0.11146275527865264,3,positive,0.05295418977713772
sam,centered,triple2vec,repeat_rate,3678.0,0.04206943679224175,0.0058615665518688695,0.07120148539572135,3,positive,0.04206943679224175
sam,centered,diffrec,n_baskets,3678.0,0.040141297231684435,0.007771475804421822,0.3021003334399788,3,positive,0.040141297231684435
sam,centered,cbp,repeat_rate,3678.0,0.040126430338237616,0.0033128941453516576,0.0670183283168196,3,positive,0.040126430338237616
sam,centered,fpmc,n_baskets,3678.0,0.038842286368565564,0.003572512007938154,0.06780764513463189,3,positive,0.038842286368565564
