dataset,keyset,method_a,method_b,n_users,n_decisive,a_win_rate,b_win_rate,tie_rate,decisive_rate,conditional_a_win_rate,conditional_b_win_rate,mean_delta
dunnhumby,2,frequency,cbp,4504,563,0.05661634103019538,0.06838365896980461,0.875,0.125,0.45293072824156305,0.5470692717584369,-0.0012060118216513467
dunnhumby,2,frequency,diffrec,4504,1735,0.23468028419182949,0.15053285968028418,0.6147868561278863,0.3852131438721137,0.6092219020172911,0.39077809798270896,0.015489961456438108
dunnhumby,2,racf,tifuknn,4504,1644,0.20115452930728242,0.163854351687389,0.6349911190053286,0.3650088809946714,0.551094890510949,0.4489051094890511,0.0077127300452880755
dunnhumby,2,racf,fpmc,4504,2429,0.436056838365897,0.10324156305506217,0.46070159857904086,0.5392984014209592,0.8085631947303417,0.19143680526965828,0.13150459107068443
dunnhumby,2,racf,triple2vec,4504,1605,0.21203374777975134,0.14431616341030196,0.6436500888099467,0.35634991119005327,0.5950155763239875,0.40498442367601245,0.014484933784105513
dunnhumby,2,racf,sets2sets,4504,2371,0.37544404973357015,0.15097690941385436,0.47357904085257546,0.5264209591474245,0.7132011809363138,0.2867988190636862,0.08862585007887953
dunnhumby,2,racf,dnntsp,4504,2069,0.2877442273534636,0.1716252220248668,0.5406305506216696,0.45936944937833035,0.626389560173997,0.3736104398260029,0.041477087375364194
dunnhumby,2,racf,cbp,4504,869,0.09658081705150977,0.09635879218472469,0.8070603907637656,0.19293960923623446,0.5005753739930955,0.4994246260069045,0.0007767659553454337
dunnhumby,2,racf,diffrec,4504,1762,0.24200710479573712,0.1492007104795737,0.6087921847246892,0.39120781527531084,0.6186152099886493,0.3813847900113507,0.01747273923343489
dunnhumby,2,tifuknn,fpmc,4504,2344,0.42539964476021314,0.09502664298401421,0.47957371225577267,0.5204262877442274,0.8174061433447098,0.1825938566552901,0.12379186102539637
dunnhumby,2,tifuknn,triple2vec,4504,1885,0.21847246891651864,0.20004440497335702,0.5814831261101243,0.4185168738898757,0.5220159151193634,0.4779840848806366,0.006772203738817439
dunnhumby,2,tifuknn,sets2sets,4504,2293,0.3641207815275311,0.14498223801065718,0.49089698046181174,0.5091030195381883,0.7152202354993459,0.2847797645006542,0.08091312003359145
dunnhumby,2,tifuknn,dnntsp,4504,2079,0.27708703374777977,0.18450266429840143,0.5384103019538188,0.46158969804618116,0.6002886002886003,0.3997113997113997,0.033764357330076114
dunnhumby,2,tifuknn,cbp,4504,1651,0.1649644760213144,0.20159857904085257,0.6334369449378331,0.36656305506216696,0.45003028467595396,0.549969715324046,-0.00693596408994264
dunnhumby,2,tifuknn,diffrec,4504,1870,0.23179396092362345,0.18339253996447602,0.5848134991119005,0.41518650088809944,0.558288770053476,0.44171122994652406,0.009760009188146814
