dataset,method_a,method_b,feature,rho_keyset0,rho_keyset1,rho_keyset2,mean_rho,mean_abs_rho,min_rho,max_rho,rho_range,sign_pattern,consistent_signs,abs_mean_rho
sam,frequency,racf,cooccurrence_support,0.014371186276542693,0.006721681322216765,0.002459489933300519,0.007850785844019992,0.007850785844019992,0.002459489933300519,0.014371186276542693,0.011911696343242174,+++,True,0.007850785844019992
sam,frequency,racf,n_baskets,0.0006305428329078126,-0.026060805621376377,-0.012459690747253732,-0.012629984511907432,0.013050346400512641,-0.026060805621376377,0.0006305428329078126,0.02669134845428419,mixed,False,0.012629984511907432
sam,frequency,racf,neighbor_similarity,0.03990091345763922,0.02136774871127622,0.012569095242463758,0.024612585803793066,0.024612585803793066,0.012569095242463758,0.03990091345763922,0.02733181821517546,+++,True,0.024612585803793066
sam,frequency,racf,popularity_profile,0.018435629686565373,0.008714242061868327,-0.012894485381766836,0.0047517954555556215,0.013348119043400178,-0.012894485381766836,0.018435629686565373,0.03133011506833221,mixed,False,0.0047517954555556215
sam,frequency,racf,recency_frequency_disagreement,-0.028896365877109406,-0.0522344075006082,-0.048358517651560025,-0.043163097009759205,0.043163097009759205,-0.0522344075006082,-0.028896365877109406,0.02333804162349879,---,True,0.043163097009759205
sam,frequency,racf,recent_basket_novelty,-0.05420161597059225,-0.035003418265192876,-0.05087647092939324,-0.04669383505505945,0.04669383505505945,-0.05420161597059225,-0.035003418265192876,0.01919819770539937,---,True,0.04669383505505945
sam,frequency,racf,repeat_rate,0.047619688282190833,0.04349015476175196,0.05121347998097639,0.04744110767497306,0.04744110767497306,0.04349015476175196,0.05121347998097639,0.0077233252192244264,+++,True,0.04744110767497306
sam,frequency,racf,transition_predictability,0.03415153946685285,0.02999107827313371,0.024241748196440198,0.029461455312142254,0.029461455312142254,0.024241748196440198,0.03415153946685285,0.009909791270412652,+++,True,0.029461455312142254
sam,frequency,sets2sets,adjacent_basket_jaccard,0.025690798824315998,0.021042382365327208,0.017261040163495528,0.02133140711771291,0.02133140711771291,0.017261040163495528,0.025690798824315998,0.00842975866082047,+++,True,0.02133140711771291
sam,frequency,sets2sets,avg_basket_size,0.045931934719680344,0.050054076461883173,0.01975569104884955,0.03858056741013769,0.03858056741013769,0.01975569104884955,0.050054076461883173,0.030298385413033622,+++,True,0.03858056741013769
