dataset,keyset,claim_type,method,feature,expected_sign,n_users_complete,n_users_nonzero,all_zero_fraction,coef_full,bootstrap_median,ci_low,ci_high,ci_excludes_zero,matches_expected_sign,coef_nonzero_users,nonzero_same_sign,rho_raw,rho_centered
instacart,0,expected,fpmc,transition_strength,1,4124,3648,0.11542192046556743,0.016302112177658798,0.01604339247697301,-0.0004622211059841062,0.031315278320482,False,True,0.01882114378808829,True,0.11632815584781953,-0.11686888072986289
instacart,0,expected,dnntsp,transition_strength,1,4124,3648,0.11542192046556743,-0.008687476136348144,-0.00845376570049245,-0.02478945855636091,0.007336450061935976,False,False,-0.010366771504155424,True,0.18760831382584034,0.03425557843481906
instacart,0,expected,triple2vec,relational_strength,1,4124,3648,0.11542192046556743,-0.0028996178988743276,-0.00338774368661288,-0.015144487305071,0.007871616846675226,False,False,-0.005883125713427025,True,0.1840405470950506,0.062484750263232816
instacart,0,discovery,fpmc,n_baskets,1,4124,3648,0.11542192046556743,0.055415168554396356,0.05558772306506774,0.04475399310294616,0.06751818733821578,True,True,0.054628331262006787,True,0.12102797633550566,0.007223609172186752
instacart,0,observed_contrast,fpmc,repeat_rate,-1,4124,3648,0.11542192046556743,-0.07338457974405509,-0.07325606832063523,-0.08969310528330242,-0.055225736063352716,True,True,-0.06900886991802885,True,0.20872421095335156,-0.22718641707301196
instacart,0,observed_contrast,recency,repeat_rate,-1,4124,3648,0.11542192046556743,-0.08545599724124454,-0.08500731983214378,-0.10073001676526847,-0.06807448151445579,True,True,-0.09293453106060418,True,0.2225398045637235,-0.15819645188059628
instacart,1,expected,frequency,repeat_rate,1,4124,3588,0.12997090203685746,0.021795512551722292,0.021596659796174995,0.012537844828828746,0.030064011551400746,True,True,0.017477270735217695,True,0.3920234831484867,0.2042178799537686
instacart,1,expected,tifuknn,repeat_rate,1,4124,3588,0.12997090203685746,0.025328967865333406,0.025171093493598792,0.015667791691038026,0.03433328037689669,True,True,0.022420477300535657,True,0.38784522690438283,0.17791092618239188
instacart,1,expected,cbp,repeat_rate,1,4124,3588,0.12997090203685746,0.024520827088089153,0.02432309684600633,0.015133024364004948,0.03316502900010594,True,True,0.020686692114366325,True,0.4021208151243051,0.2209037994010005
instacart,1,expected,recency,adjacent_basket_jaccard,1,4124,3588,0.12997090203685746,0.009773347774914412,0.00995213754132946,-0.0016353291409053946,0.01959996325618297,False,True,0.011873392729546241,True,0.368447848005857,-0.06289644351903334
instacart,1,expected,fpmc,transition_strength,1,4124,3588,0.12997090203685746,0.011131703517008101,0.010947602518260666,-0.004169017180069825,0.025612874428088878,False,True,0.015483961967094246,True,0.09587217062294144,-0.12248553737455843
instacart,1,expected,dnntsp,transition_strength,1,4124,3588,0.12997090203685746,-0.014846925903268783,-0.015613428627761808,-0.03078151766656955,0.0002193306141408107,False,False,-0.018200392212618446,True,0.17895073779885534,0.03890890621677581
