dataset,feature,min_baskets,method,n_users_slice,n_users_feature,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,n_keysets,rho_centered_sign
sam,relational_strength,3,tifuknn,2664.3333333333335,2664.3333333333335,-0.08586686249385483,0.02572895526204439,-0.0014902287914747205,0.009521763952881736,3,mixed
sam,relational_strength,3,triple2vec,2664.3333333333335,2664.3333333333335,-0.07712283098486697,0.025799226688180427,0.023704040654863312,0.006187580523451694,3,positive
sam,relational_strength,5,cbp,1643.6666666666667,1643.6666666666667,-0.04959624677656014,0.018428796059985007,0.02877971362228986,0.017766000572719515,3,positive
sam,relational_strength,5,diffrec,1643.6666666666667,1643.6666666666667,0.033421117951421414,0.006964218334864672,0.01715716220900369,0.023043061822382704,3,mixed
sam,relational_strength,5,dnntsp,1643.6666666666667,1643.6666666666667,0.05408208998343031,0.03080290343093814,0.01258927355313331,0.019950215715057593,3,mixed
sam,relational_strength,5,fpmc,1643.6666666666667,1643.6666666666667,-0.10391010156105208,0.04531752302543938,-0.17642702807274493,0.048356667589529244,3,negative
sam,relational_strength,5,frequency,1643.6666666666667,1643.6666666666667,-0.055971050282413726,0.01936931538003681,0.01926818800051094,0.016095192231283865,3,positive
sam,relational_strength,5,recency,1643.6666666666667,1643.6666666666667,-0.05217043970586522,0.035308621621628386,-0.11580414382367239,0.02673188257161464,3,negative
sam,relational_strength,5,tifuknn,1643.6666666666667,1643.6666666666667,-0.047867552221944464,0.012956292139696414,0.018809694846620924,0.009119165821654108,3,positive
sam,relational_strength,5,triple2vec,1643.6666666666667,1643.6666666666667,-0.03948682902679076,0.014704447219117355,0.05005607500976953,0.0040731670131484215,3,positive
sam,transition_strength,2,cbp,3678.0,3678.0,-0.15121297231422767,0.011767266631197372,-0.05797111437429444,0.01246656963349066,3,negative
sam,transition_strength,2,diffrec,3678.0,3678.0,-0.1530837204176905,0.026686522240017004,-0.04782610809066464,0.039182716347451664,3,negative
sam,transition_strength,2,dnntsp,3678.0,3678.0,-0.10689264135206596,0.006263627308218716,-0.016597883836442406,0.01480395748680703,3,negative
sam,transition_strength,2,fpmc,3678.0,3678.0,-0.09187523804638131,0.006496691746505966,0.01985737723156479,0.02133970739380244,3,mixed
sam,transition_strength,2,frequency,3678.0,3678.0,-0.15029673185377038,0.011923450441407683,-0.06744215076399032,0.013438444448040347,3,negative
sam,transition_strength,2,recency,3678.0,3678.0,-0.15293939265631748,0.01956407798995397,-0.08463675022774587,0.017751759688368323,3,negative
sam,transition_strength,2,tifuknn,3678.0,3678.0,-0.14093804267315693,0.021728005545388042,-0.04333842506044933,0.024353383998617327,3,negative
sam,transition_strength,2,triple2vec,3678.0,3678.0,-0.14434898712519453,0.012024804219502546,-0.0402775794070254,0.00656438639049013,3,negative
sam,transition_strength,3,cbp,2664.3333333333335,2664.3333333333335,-0.10605533149220055,0.01252551118041291,-0.014590834230154432,0.0019440905004086328,3,negative
sam,transition_strength,3,diffrec,2664.3333333333335,2664.3333333333335,-0.12493887363786017,0.0324350279178459,-0.06361631872231023,0.030581716574036893,3,negative
sam,transition_strength,3,dnntsp,2664.3333333333335,2664.3333333333335,-0.08412372271561212,0.022805879752839448,-0.024687091787913226,0.03673461791105921,3,mixed
sam,transition_strength,3,fpmc,2664.3333333333335,2664.3333333333335,-0.07954259155351794,0.020131718407103785,-0.023505892450641747,0.02482794257065386,3,mixed
sam,transition_strength,3,frequency,2664.3333333333335,2664.3333333333335,-0.1100358855636503,0.01719615387640036,-0.025441991590222483,0.0038506634206804313,3,negative
sam,transition_strength,3,recency,2664.3333333333335,2664.3333333333335,-0.12162267638626102,0.02335309719356195,-0.08080888469712016,0.015624004271622742,3,negative
sam,transition_strength,3,tifuknn,2664.3333333333335,2664.3333333333335,-0.1047316888715225,0.013501047119384399,-0.012283981797746849,0.00821564632796169,3,negative
